,date_id,r1,r2,r3,r4,r5,r6,blue
689,8019,2,9,11,17,27,31,5
690,8020,3,10,13,15,28,30,3
691,8021,9,12,19,20,26,28,15
692,8022,12,18,20,24,28,32,5
693,8023,8,16,18,25,26,32,2
694,8024,11,20,21,26,28,30,13
695,8025,8,16,17,18,19,21,14
696,8026,5,17,19,27,29,32,3
697,8027,15,18,19,23,24,26,13
698,8028,1,13,21,26,29,32,10
699,8029,1,9,14,22,29,32,12
700,8030,6,15,18,19,20,28,11
701,8031,3,6,11,15,21,31,13
702,8032,5,14,16,21,23,28,13
703,8033,12,17,18,30,31,33,4
704,8034,3,5,9,11,21,29,9
705,8035,7,11,14,17,18,29,16
706,8036,2,6,13,18,23,28,16
707,8037,1,12,22,24,28,31,6
708,8038,3,9,10,11,15,19,13
709,8039,1,7,10,13,22,29,1
710,8040,6,13,22,25,27,28,9
711,8041,8,11,20,22,23,27,4
712,8042,3,4,9,11,12,24,1
713,8043,3,10,16,22,27,33,14
714,8044,5,7,9,20,26,29,9
715,8045,1,10,13,21,29,32,4
716,8046,15,16,18,24,28,33,15
717,8047,9,12,13,14,20,22,10
718,8048,11,18,21,27,30,32,1
719,8049,3,10,12,13,19,25,4
720,8050,1,11,19,24,26,27,3
721,8051,1,4,8,10,13,33,11
722,8052,2,10,17,23,29,31,10
723,8053,6,12,19,20,21,27,4
724,8054,2,6,16,17,20,25,7
725,8055,11,16,19,23,26,31,4
726,8056,8,13,22,23,25,30,7
727,8057,19,20,21,26,28,30,8
